iter	Passed	Remaining
420	2038	2803
421	2042	2797
422	2046	2791
423	2050	2785
424	2054	2779
425	2058	2773
426	2062	2767
427	2066	2762
428	2070	2756
429	2074	2749
430	2078	2743
431	2081	2737
432	2086	2732
433	2090	2726
434	2094	2720
435	2098	2714
436	2103	2709
437	2108	2704
438	2112	2699
439	2116	2693
440	2120	2688
441	2124	2682
442	2128	2676
443	2132	2670
444	2136	2664
445	2140	2659
446	2144	2653
447	2148	2647
448	2152	2641
449	2156	2635
450	2160	2630
451	2164	2624
452	2168	2618
453	2172	2612
454	2176	2607
455	2180	2601
456	2184	2595
457	2188	2590
458	2192	2584
459	2197	2579
460	2201	2574
461	2206	2569
462	2210	2564
463	2214	2558
464	2218	2553
465	2223	2548
466	2229	2544
467	2233	2539
468	2237	2533
469	2242	2528
470	2246	2522
471	2249	2516
472	2253	2511
473	2257	2504
474	2261	2499
475	2265	2494
476	2270	2489
477	2274	2483
478	2278	2478
479	2282	2472
480	2286	2467
481	2291	2462
482	2295	2457
483	2300	2452
484	2305	2447
485	2309	2442
486	2313	2437
487	2318	2432
488	2322	2427
489	2327	2422
490	2332	2417
491	2336	2411
492	2340	2406
493	2344	2401
494	2348	2396
495	2352	2390
496	2356	2385
497	2360	2379
498	2364	2374
499	2368	2368
500	2372	2363
501	2376	2357
502	2381	2352
503	2385	2347
504	2388	2341
505	2406	2349
506	2411	2344
507	2416	2340
508	2423	2337
509	2428	2332
510	2432	2328
511	2437	2323
512	2441	2317
513	2446	2313
514	2451	2309
515	2456	2304
516	2460	2299
517	2466	2294
518	2470	2289
519	2475	2284
520	2480	2280
521	2485	2275
522	2489	2270
523	2494	2265
524	2498	2260
525	2503	2255
526	2508	2251
527	2513	2246
528	2517	2241
529	2521	2236
530	2525	2230
531	2530	2225
532	2534	2220
533	2538	2215
534	2542	2209
535	2546	2204
536	2549	2198
537	2554	2193
538	2558	2188
539	2562	2182
540	2565	2177
541	2569	2171
542	2573	2166
543	2577	2160
544	2581	2155
545	2585	2149
546	2589	2144
547	2593	2139
548	2597	2133
549	2601	2128
550	2605	2123
551	2610	2118
552	2614	2113
553	2618	2108
554	2622	2102
555	2626	2097
556	2630	2092
557	2635	2087
558	2638	2081
559	2642	2076
560	2646	2071
561	2651	2066
562	2655	2060
563	2659	2055
564	2662	2050
565	2666	2044
566	2671	2039
567	2675	2034
568	2678	2029
569	2682	2023
570	2687	2018
571	2691	2013
572	2695	2008
573	2699	2003
574	2703	1998
575	2707	1992
576	2711	1988
577	2716	1983
578	2720	1977
579	2724	1973
580	2728	1968
581	2732	1962
582	2737	1957
583	2741	1952
584	2744	1947
585	2748	1942
586	2753	1937
587	2757	1932
588	2761	1926
589	2765	1921
590	2769	1916
591	2774	1911
592	2778	1906
593	2781	1901
594	2786	1896
595	2790	1891
596	2794	1886
597	2798	1881
598	2802	1876
599	2806	1871
600	2810	1866
601	2814	1861
602	2819	1856
603	2823	1850
604	2827	1845
605	2831	1840
606	2835	1835
607	2839	1830
608	2843	1825
609	2847	1820
610	2851	1815
611	2855	1810
612	2858	1804
613	2862	1799
614	2866	1794
615	2870	1789
616	2874	1784
617	2878	1779
618	2882	1774
619	2886	1769
620	2890	1764
621	2894	1759
622	2899	1754
623	2903	1749
624	2907	1744
625	2911	1739
626	2915	1734
627	2919	1729
628	2923	1724
629	2928	1719
630	2932	1714
631	2936	1709
632	2940	1704
633	2944	1699
634	2947	1694
635	2952	1689
636	2956	1684
637	2960	1679
638	2964	1674
639	2968	1669
640	2972	1664
641	2976	1659
642	2980	1654
643	2984	1649
644	2989	1645
645	2993	1640
646	2997	1635
647	3001	1630
648	3005	1625
649	3010	1620
650	3014	1616
651	3018	1611
652	3023	1606
653	3027	1601
654	3031	1596
655	3035	1591
656	3040	1587
657	3044	1582
658	3048	1577
659	3051	1572
660	3055	1567
661	3059	1562
662	3063	1557
663	3067	1552
664	3071	1547
665	3076	1542
666	3080	1537
667	3084	1532
668	3088	1527
669	3092	1523
670	3096	1518
671	3101	1513
672	3104	1508
673	3108	1503
674	3113	1499
675	3117	1494
676	3121	1489
677	3125	1484
678	3130	1479
679	3134	1474
680	3138	1470
681	3142	1465
682	3146	1460
683	3150	1455
684	3154	1450
685	3158	1445
686	3163	1441
687	3167	1436
688	3171	1431
689	3175	1426
690	3179	1422
691	3184	1417
692	3187	1412
693	3192	1407
694	3196	1402
695	3200	1397
696	3204	1393
697	3209	1388
698	3213	1383
699	3218	1379
700	3223	1374
701	3227	1370
702	3232	1365
703	3235	1360
704	3240	1355
705	3244	1351
706	3248	1346
707	3252	1341
708	3256	1336
709	3261	1332
710	3265	1327
711	3269	1322
712	3274	1318
713	3279	1313
714	3283	1308
715	3287	1304
716	3292	1299
717	3296	1294
718	3301	1290
719	3306	1285
720	3311	1281
721	3315	1276
722	3320	1272
723	3324	1267
724	3328	1262
725	3332	1257
726	3337	1253
727	3341	1248
728	3345	1243
729	3349	1238
730	3352	1233
731	3357	1229
732	3361	1224
733	3365	1219
734	3369	1214
735	3373	1210
736	3377	1205
737	3381	1200
738	3385	1195
739	3389	1190
740	3393	1186
741	3397	1181
742	3402	1176
743	3406	1171
744	3410	1167
745	3414	1162
746	3418	1157
747	3422	1153
748	3427	1148
749	3431	1143
750	3435	1139
751	3439	1134
752	3443	1129
753	3446	1124
754	3450	1119
755	3455	1115
756	3459	1110
757	3463	1105
758	3467	1101
759	3472	1096
760	3476	1091
761	3480	1087
762	3484	1082
763	3489	1077
764	3493	1073
765	3497	1068
766	3501	1063
767	3505	1059
768	3510	1054
769	3514	1049
770	3518	1044
771	3522	1040
772	3525	1035
773	3529	1030
774	3534	1026
775	3538	1021
776	3541	1016
777	3547	1012
778	3552	1007
779	3556	1003
780	3560	998
781	3564	993
782	3568	988
783	3572	984
784	3576	979
785	3580	974
786	3585	970
787	3589	965
788	3593	960
789	3596	956
790	3600	951
791	3605	946
792	3609	942
793	3613	937
794	3617	932
795	3621	928
796	3626	923
797	3630	918
798	3633	914
799	3638	909
800	3642	904
801	3646	900
802	3651	895
803	3655	891
804	3659	886
805	3663	881
806	3667	877
807	3672	872
808	3676	867
809	3680	863
810	3684	858
811	3688	854
812	3692	849
813	3696	844
814	3701	840
815	3705	835
816	3709	830
817	3713	826
818	3717	821
819	3722	817
820	3726	812
821	3731	808
822	3735	803
823	3739	798
824	3742	793
825	3747	789
826	3751	784
827	3755	780
828	3759	775
829	3763	770
830	3767	766
831	3770	761
832	3774	756
833	3778	752
834	3782	747
835	3786	742
836	3790	738
837	3794	733
838	3799	729
839	3803	724
840	3807	719
841	3811	715
842	3815	710
843	3819	706
844	3823	701
845	3827	696
846	3831	692
847	3835	687
848	3838	682
849	3843	678
850	3847	673
851	3851	669
852	3856	664
853	3860	659
854	3864	655
855	3868	650
856	3872	646
857	3876	641
858	3880	636
859	3885	632
860	3889	627
861	3893	623
862	3897	618
863	3901	614
864	3905	609
865	3909	604
866	3913	600
867	3918	595
868	3922	591
869	3926	586
870	3930	582
871	3934	577
872	3938	572
873	3943	568
874	3947	563
875	3951	559
876	3956	554
877	3960	550
878	3964	545
879	3968	541
880	3972	536
881	3976	532
882	3981	527
883	3985	522
884	3989	518
885	3993	513
886	3997	509
887	4002	504
888	4006	500
889	4010	495
890	4014	491
891	4018	486
892	4022	481
893	4026	477
894	4030	472
895	4033	468
896	4037	463
897	4041	459
898	4045	454
899	4049	449
900	4053	445
901	4057	440
902	4061	436
903	4066	431
904	4070	427
905	4073	422
906	4078	418
907	4082	413
908	4086	409
909	4090	404
910	4094	400
911	4098	395
912	4102	390
913	4106	386
914	4110	381
915	4115	377
916	4119	372
917	4122	368
918	4126	363
919	4130	359
920	4134	354
921	4139	350
922	4143	345
923	4147	341
924	4151	336
925	4155	332
926	4159	327
927	4163	323
928	4167	318
929	4171	313
930	4175	309
931	4179	304
932	4183	300
933	4188	295
934	4192	291
935	4196	286
936	4201	282
937	4205	277
938	4209	273
939	4213	268
940	4217	264
941	4222	259
942	4225	255
943	4230	250
944	4234	246
945	4238	241
946	4242	237
947	4246	232
948	4251	228
949	4254	223
950	4258	219
951	4262	214
952	4266	210
953	4270	205
954	4274	201
955	4278	196
956	4282	192
957	4287	187
958	4291	183
959	4295	178
960	4299	174
961	4302	169
962	4306	165
963	4311	161
964	4315	156
965	4319	152
966	4323	147
967	4327	143
968	4331	138
969	4335	134
970	4340	129
971	4344	125
972	4348	120
973	4352	116
974	4356	111
975	4361	107
976	4365	102
977	4369	98
978	4374	93
979	4378	89
980	4382	84
981	4386	80
982	4390	75
983	4394	71
984	4398	66
985	4402	62
986	4406	58
987	4410	53
988	4414	49
989	4418	44
990	4422	40
991	4426	35
992	4430	31
993	4434	26
994	4438	22
995	4443	17
996	4447	13
997	4451	8
998	4455	4
999	4459	0
